index,Roast Level,Avg Agtron,price,rating,Country Region,Country,review_sentence,company,coffee
59a,Medium,60,14,89,The Americas,Brazil," Prune, nut, chocolate, a hint of honey in aroma and cup",Nossa Familia Coffee,Gabriel’s Grand Cru Micro-Lot 0086
60a,Medium,51,12.99,93,The Americas,Brazil," Raisin, almond, dark chocolate, cantaloupe-like fruit in aroma and small cup",JBC Coffee Roasters,Elizer Espresso
61a,Medium,60,14,91,The Americas,Brazil," Balanced and sweet-toned in aroma and cup, with distinct milk chocolate notes and hints of lemon, cedar and raisin",Kean Coffee,Brazil Monte Alegre
62a,Medium,57,15,91,The Americas,Brazil," Cedar, honey, red apple, cocoaish chocolate, a hint of flowers in aroma and cup",Water Avenue Coffee Company,Brazil Cafe Zinho Esperanza Honey
63a,Medium,53,14.21,92,The Americas,Brazil," Both Ken and Sean were puzzled by the unusual aroma, but Sean, as he followed it into the cup, found it pleasing but just a bit edgy, perhaps musty, whereas Ken enthusiastically read it rich with the sort of pungent, earthy grapefruit character one finds in the best Sumatras",Muddy Dog Roasting,Brazil Moreninha Formosa Raisin
64a,Medium,60,13.5,93,The Americas,Brazil," Additional hints of brandy, minty dark chocolate, anise, cedar, flowers in aroma and small cup",Temple Coffee and Tea,Brazil Rodomunho Natural Espresso
65a,Medium,52,15.18,93,The Americas,Brazil," Overall sweet-toned, deep, almost flawlessly balanced",Social Coffee & Tea Company,Brazil Chapadao de Ferro Espresso
66a,Medium,52,13,91,The Americas,Brazil," In the small cup syrupy body and deep, softly pungent flavors of dark chocolate, raisin and aromatic wood",Paradise Roasters,S.O. Espresso Brazil Ouro Preto
67a,Medium-Dark,43,19.8,85,The Americas,Brazil," Heavily scorched oak, dark chocolate, hints of cashew and prune",Starbucks Reserve Roastery,Brazil Sertãozinho
68a,Medium-Dark,45,13.95,93,The Americas,Brazil," Lightly syrupy, balanced mouthfeel; rich, long finish",Paradise Roasters,SO Espresso Brazil Corrego Seco Dark Roast
69a,Medium-Dark,44,12.75,89,The Americas,Brazil," Dark chocolate, cedar, walnut, a hint of orangy fruit in aroma and cup",Caravan Coffee,Brazil Zinho Peaberry Natural
70a,Medium-Dark,48,13.66,90,The Americas,Brazil," Dark chocolate, vanilla, almond in aroma and cup",Carvalho Coffee,"Brazilian, Medium Roast"
71a,Medium-Dark,49,13.63,91,The Americas,Brazil, Mouthfeel is medium in weight but rather lean,Carvalho Coffee,Medium Roast Yellow Bourbon Pulped Natural
72a,Medium-Dark,46,12.36,89,The Americas,Brazil, A slight hint of sweet ferment encourages a deep plum-like and banana-like fruit and dark chocolate complicated by a pungent hint of fir,Reunion Island Coffee,Brazil Ouro Fino
73a,Medium-Dark,48,10,88,The Americas,Brazil," Full body, syrupy mouthfeel and a finish enlivened by a bitter-edged chocolate and more aromatic wood",Nossa Familia Coffee,Ernesto’s Espresso
74a,Medium-Dark,46,9,90,The Americas,Brazil," Crisp nut-toned chocolate with rounder, deeper hints of cherryish fruit dominates in both aroma and cup",Cup to Cup Coffee Roasters,Brazil Alta Mogiana Peaberry
75a,Medium-Light,62,24,93,The Americas,Brazil," Pomegranate, dark chocolate, narcissus, hazelnut, cedar in aroma and small cup",Plat Coffee Roastery,Playground SOE Espresso
76a,Medium-Light,66,15.95,93,The Americas,Brazil," Strawberry, violet, cacao nib, cashew butter, fresh-cut cedar in aroma and cup",Durango Coffee Company,Brazil Para Ela Natural
77a,Medium-Light,66,20.41,93,The Americas,Brazil," Dried strawberry, brandy, dark chocolate, cedar, pink peppercorn in aroma and cup",Coava Coffee Roasters,Santa Luzia Brazil
78a,Medium-Light,69,13.99,92,The Americas,Brazil," Baker’s chocolate, hazelnut butter, pear, agave syrup, fresh-cut fir in aroma and cup",Topeca Coffee Roasters,Brazil Recreio Selectivo
79a,Medium-Light,61,14.99,92,The Americas,Brazil," Baker’s chocolate, dried cherry, magnolia-like flowers, cedar, hazelnut in aroma and small cup",Good Coffee Club,Brazil Conquista
80a,Medium-Light,64,15.5,91,The Americas,Brazil," Dark chocolate, maraschino cherry, pipe tobacco, caramel, almond in aroma and cup",Big Creek Coffee Roasters,Brazil Carmo de Minas Natural
81a,Medium-Light,67,19.2,91,The Americas,Brazil," Ripe banana, roasted cacao nib, elm, freesia-like flowers, roasted cashew in aroma and cup",Nook Bakery & Coffee Bar,Brazil Pulped Natural
82a,Medium-Light,62,18,91,The Americas,Brazil," Dark chocolate, hazelnut, raisin, hints of lily and oak in aroma and cup",Novel Coffee Roasters,Minas Gerais Isaias Ferreira No. 2
83a,Medium-Light,64,21.84,90,The Americas,Brazil," Caramel, vanilla bean, cedar, almond, candied lemon zest in aroma and cup",Back Home Coffee,Brasil Ipanema Premier Cru Gold B69 Natural
84a,Medium-Light,67,18,93,The Americas,Brazil," Black currant, orange zest, cocoa, lavender, oak in aroma and cup",Old Soul Co.,Brazil Fazenda São Bento
85a,Medium-Light,68,11.71,93,The Americas,Brazil," Blackberry, cocoa, pear, lavender, roasted macadamia in aroma and cup",Auto Coffee,Fazenda Recreio Bourbon Pulped Natural
86a,Medium-Light,68,15.5,92,The Americas,Brazil," Ripe lemon zest, fresh-cut cedar, carnation, roasted cashew, cocoa in aroma and cup",Corvus Coffee Roasters,Brazil Ouro de Minas Pulped Natural
87a,Medium-Light,68,24,92,The Americas,Brazil," Baker’s chocolate, hibiscus tea, floral vanilla, tangerine zest, brown sugar in aroma and cup",Dragonfly Coffee Roasters,COE Brazil Naturals 2017 Sitio Esperanza 7th place
88a,Medium-Light,67,38.44,92,The Americas,Brazil," Strawberry, dark chocolate, sandalwood, lavender, a hint of brandy in aroma and cup",Hatch Coffee,Icamiabas Fazenda Klem Catuaí Natural
89a,Medium-Light,69,22.5,92,The Americas,Brazil," Baker’s chocolate, violet-like flowers, papaya, macadamia nut, molasses in aroma and cup",Soul Work Coffee,Brazil Chapada Diamantina Fazenda Floresta
90a,Medium-Light,64,14,94,The Americas,Brazil," Dark chocolate, cedar, orange zest, floral-toned vanilla, fresh pipe tobacco in aroma and small cup",Magnolia Coffee,Jade Espresso
91a,Medium-Light,64,15,89,The Americas,Brazil," Toffee, violet, fresh-cut cedar, lime zest, a hint of apricot in aroma and cup",Espresso Republic,Static Peaberry Cerrado Brazil
92a,Medium-Light,65,15,91,The Americas,Brazil," Caramel, cherry, roasted cacao nib, narcissus, a hint of cumin in aroma and cup",Revel Coffee,Brazil Paulo Ribeiro Rocha
93a,Medium-Light,66,15,88,The Americas,Brazil," Gardenia, baker’s chocolate, green grape, pecan, black peppercorn in aroma and cup",Espresso Republic,Static Santa Luzia Brazil
94a,Medium-Light,61,17,90,The Americas,Brazil," Toffee, pecan, fresh-cut fir, baker’s chocolate, rosemary flower in aroma and cup",Temple Coffee and Tea,Brazil Matas de Minas
95a,Medium-Light,65,7.7,91,The Americas,Brazil," Almond brittle, baker’s chocolate, cedar, candied kumquat, narcissus in aroma and small cup",Wei Chuan Foods Corporation,Bernachon ZG Espresso
96a,Medium-Light,68,10.42,91,The Americas,Brazil," Blackcurrant, walnut, lemon zest, carob, violet in aroma and cup",Java Blend Coffee Roasters,Brazil Espirito Santo Pulped Natural
97a,Medium-Light,68,18,93,The Americas,Brazil," Butterscotch, hazelnut, lilac, tamarind, dried papaya in aroma and cup",Old Soul Co.,Brazil Fazenda Alta Vista
98a,Medium-Light,68,10.49,94,The Americas,Brazil," Dried papaya, gardenia, baker’s chocolate, fine musk, almond in aroma and cup",Willoughby's Coffee & Tea,Brazil Fazenda Passeio Natural
99a,Medium-Light,65,14.34,93,The Americas,Brazil," Sandalwood, cantaloupe, honeysuckle, almond in aroma and cup",GIGA Coffee,Fazenda Aurea South Minas Brazil
100a,Medium-Light,69,15,92,The Americas,Brazil," Vanilla paste, cinnamon, hazelnut, gardenia, fresh-tanned leather in aroma and cup",Parisi Artisan Coffee,Brazil Fazenda Do Serrado
101a,Medium-Light,66,16,92,The Americas,Brazil," Honey, tea rose, fir, black currant, thyme in aroma and cup",Victrola Coffee Roasters,Carmo de Minas Canaan Estate Natural Pedreira Microlot
102a,Medium-Light,70,16.5,92,The Americas,Brazil," Lychee, hazelnut, roasted cacao nib, honeysuckle, cedar in aroma and cup",Black Oak Coffee Roasters,Boa Vista Brazil
103a,Medium-Light,68,16.73,92,The Americas,Brazil," Lavender, dark chocolate, date, vanilla in aroma and cup",Bartok Coffee,Brazil Fazenda Beneficio Presente do Sol
104a,Medium-Light,68,17,91,The Americas,Brazil," Honey, rhododendron, tangerine zest and hazelnut in aroma and cup",Chocolate Fish Coffee Roasters,Fazenda Santa Luzia Brasil
105a,Medium-Light,62,9.03,87,The Americas,Brazil," Tangerine, roasted cacao nib, fresh-cut cedar, musky lily in aroma and small cup","Seeker Co, Ltd.",Bologna Blend Coffee Beans
106a,Medium-Light,71,19.77,91,The Americas,Brazil," Roasted nut, apricot, malt, a hint of rhododendron-like flowers in aroma and cup",Namusairo Coffee,Brazil Pocas de Caldas Rainha Natural
107a,Medium-Light,69,16,92,The Americas,Brazil," Hazelnut, honeydew melon, tamarind, fresh-cut oak in aroma and cup",Temple Coffee and Tea,Brazil Araponga Temple Select
108a,Medium-Light,69,15.5,91,The Americas,Brazil," Caramel, cedar, chocolate, plum, a hint of citrus in aroma and cup",Chromatic Coffee,Keynote Perennial Brew
109a,Medium-Light,63,16.5,92,The Americas,Brazil," Spicy, tea-rose-like flowers, roasted cacao nib, vanilla, tamarind, myrrh in aroma and cup",Roast Co. Artisan Coffees,Brazil Pedra Redonda
110a,Medium-Light,63,9.74,92,The Americas,Brazil," Distinct rose-like floral notes, roasted cacao nib, caramel, roasted almond in aroma and cup",Willoughby's Coffee & Tea,Brazil Yellow Bourbon Laranjal Farms
111a,Medium-Light,63,15,89,The Americas,Brazil," Apricot, almond, hints of milk chocolate and tangerine in aroma and cup",Panther Coffee,Brasil Fazenda Sertao
112a,Medium-Light,61,12.75,90,The Americas,Brazil," Lemony peach, almond, fresh-cut fir, brown sugar in aroma and cup",Wonderstate Coffee,Organic Brazil Diamantina
113a,Medium-Light,67,14.5,90,The Americas,Brazil," Cherry, almond, honeyish night flowers with a port-wine-like hint in aroma and cup",Salt Spring Coffee,Brazil Fazenda Floresta
114a,Medium-Light,67,18.27,92,The Americas,Brazil," Peach, a crisply dry version of blackberry and night flowers dominate in aroma and cup",Gavagai,Brazil Sitio do Tanque
115a,Medium-Light,62,15,92,The Americas,Brazil," Dark chocolate dominates in aroma and cup, complicated by suggestions of nut – almond, walnut – and an apricot-like fruit",Panther Coffee,Brazil Fazenda Chapadao de Ferro Peaberry
116a,Medium-Light,64,21,93,The Americas,Brazil," Flowers, honeyed lemon, hints of almond and pungent fresh-cut fir in aroma and cup",OQ Coffee Co.,Sol do Paraguassu Farm Natural Processed Brazil
117a,Medium-Light,66,12.59,90,The Americas,Brazil," All carries into the small cup, complicated by penetrating suggestions of lemon, cocoa nib, fir",Coava Coffee Roasters,Brasil Fazenda Chapadao de Ferro Espresso
118a,Medium-Light,63,12.59,90,The Americas,Brazil," A delicate cup, with balanced acidity, soft mouthfeel, and continued sweet nut complemented by softer citrus and chocolate nuance",Coava Coffee Roasters,Brasil Fazenda Chapadao de Ferro
119a,Medium-Light,67,14.75,93,The Americas,Brazil ; Colombia," Roasted cacao nib, cedar, apricot, orange zest, hazelnut in aroma and small cup",Thirty-Thirty Coffee Co.,Baloo Espresso
120a,Medium,55,21.72,90,The Americas,Brazil ; Colombia ; Guatemala," Buttery dark chocolate, apricot, cedar, orange zest, a hint of anise in aroma and small cup",The Curve Coffee Roasting Co.,No. 5 Espresso Blend
121a,Medium-Light,69,11.86,93,The Americas,Brazil ; Colombia ; Guatemala," Dark chocolate, pie cherry, orange zest, lily, fresh-cut oak in aroma and cup",Red Bean Coffee,Bright House Signature Coffee
122a,Medium-Light,63,25.3,91,The Americas,Brazil ; Colombia ; Guatemala," Hazelnut, baking chocolate, red apple, fresh-cut fir, brown sugar in aroma and cup","Kunshan Kokei co., LTD",H Coffee Blend F03
123a,Dark,38,10.28,92,The Americas,Brazil ; Colombia ; Honduras," Blackberry, cocoa, cedar, ripe (almost overripe) plum in aroma and small cup",Wei Chuan Foods Corporation,Bernachon B945 Espresso
124a,Medium,57,16.75,93,Africa ; The Americas,Brazil ; Costa Rica," Delicate, syrupy mouthfeel; the finish consolidates to pear and dark chocolate in the short and aromatic rosewood in the long",Temple Coffee and Tea,Dharma Blend Espresso
125a,Medium,57,12.75,89,The Americas,Brazil ; Costa Rica," Smooth, buttery mouthfeel",De La Paz Coffee,14th Street Espresso
126a,Medium-Light,62,11.25,93,The Americas,Brazil ; Costa Rica," Cantaloupe, apricot, buttery dark chocolate, fresh-cut cedar, a hint of honeysuckle in aroma and small cup",Flight Coffee Co.,Lift Off Espresso
127a,Medium-Dark,50,14.99,91,The Americas,Brazil ; Costa Rica ; Guatemala," Dark chocolate, plum, fresh-cut cedar, a hint of lily-like flowers in aroma and small cup",Beachcomber Coffee,Beachcomber Blend
128a,Medium,53,15.18,92,The Americas,Brazil ; Costa Rica ; Guatemala ; Mexico ; Panama, Ken found further complication: musky flowers and chocolate,Mellow Coffee & Tea,Dawning Espresso
129a,Medium,59,12.95,93,The Americas,Brazil ; Ecuador," Nutella, pink peppercorn, pomegranate, molasses, magnolia in aroma and small cup",Paradise Roasters,Espresso Classico
130a,Medium-Light,62,15.4,92,The Americas,Brazil ; Ecuador ; Peru," Dark chocolate, peach, blood orange zest, wisteria, almond brittle in aroma and small cup",Pop Coffee Works,Espresso Blend
131a,Medium-Dark,48,21.69,89,The Americas,Brazil ; El Salvador," Nut (roasted almond, peanut-butter), dark chocolate, scorched oak, prune, pungent lily in aroma and small cup",Sensory House Coffee,Nuts Espresso Blend
132a,Medium,58,12.38,93,The Americas,Brazil ; Guatemala," Chocolate fudge, magnolia, almond brittle, tangerine zest, cedar in aroma and small cup",Creation Food Co.,Signature Hazelnut Dark Chocolate
133a,Medium,54,10.22,93,The Americas,Brazil ; Guatemala," Deep, sweetly pungent, round",Testa Rossa,Original Italian Espresso
134a,Medium,59,29.99,92,The Americas,Brazil ; Guatemala," Dark chocolate, molasses, plum, fresh-cut cedar, narcissus-like flowers in aroma and cup",Comestible Master Company,Guatemala Volcano Coffee
135a,Medium-Dark,46,8.16,83,The Americas,Brazil ; Guatemala," Cocoa powder, scorched fir, vanilla extract, roasted hazelnut, prune in aroma and small cup","Nongfu Spring Co., Ltd.",Latte Espresso
136a,Medium-Dark,48,310.37,92,The Americas,Brazil ; Guatemala," Dark chocolate, almond brittle, orchid, charred mesquite, molasses in aroma and small cup",Tehmag Foods Corporation,TMC SB Blend Espresso
137a,Medium-Dark,49,19.99,91,The Americas,Brazil ; Guatemala," Dark chocolate, fresh-cut cedar, carnal lily, musk, a hint of vanilla in aroma and small cup",Comestible Master Company,85 Degree Guatemala Espresso
138a,Medium-Dark,49,16.33,92,The Americas,Brazil ; Mexico," Dark chocolate, walnut, peach, freesia-like flowers, lightly scorched fir in aroma and cup",Cimarron Coffee Roasters,Chimney Rock Blend
139a,Medium-Dark,44,9.71,89,The Americas,Brazil ; Mexico," Soft but distinct acidity and a round, silky mouthfeel",Metropolis Coffee,Decaf Redline
140a,Medium-Light,67,9.44,90,The Americas,Brazil ; Mexico," Delicate, balanced acidity; light but smoothly silky mouthfeel",Cafe Excellence,Breakfast Blend
141a,Medium,53,17.56,91,The Americas,Brazil ; Nicaragua," Dark chocolate, raisin, sassafras, molasses, fresh-cut fir in aroma and small cup",9612 Coffee Room,Nux Espresso Blend
142a,Very Dark,32,9.99,87,The Americas,Brazil ; Panama, Although the charred wood dominates in the cup the chocolate becomes more distinct and the raisiny suggestion persists,Cafe Excellence,French Roast
143a,Light,72,22,93,Africa,Burundi," Lychee, orange zest, amber oil, cocoa nib, narcissus-like flowers in aroma and cup",Big Shoulders Coffee,Burundi Buhorwa
144a,Light,72,21,92,Africa,Burundi," Baking spices, caramel, red apple, magnolia, oak in aroma and cup",Big Shoulders Coffee,Burundi Kibingo
145a,Light,73,19.95,92,Africa,Burundi," Walnut, cocoa powder, maple syrup, hints of pear and rum in aroma and cup",Amavida Coffee Roasters,Natural Burundi Nemba
146a,Light,72,15,92,Africa,Burundi," Nougat, lavender, dried apricot, cedar, a hint of cumin in aroma and cup",Novo Coffee,Kiniyota Burundi
147a,Light,79,13.13,93,Africa,Burundi," Honey, baker’s chocolate, kumquat, almond, violet-like flowers in aroma and cup",Kakalove Cafe,Burundi Nyarunasi Muramuya
